totalFrequency
computer: 87
ubc: 311
engineer: 182
queryLog
1608685349641: ubc
1608685349853: engineer
1608685351156: ubc
1608685351404: engineer
1608685352652: ubc
1608685352908: computer
1608685354170: ubc
1608685354367: engineer
1608685355609: ubc
1608685355814: engineer
1608685357051: ubc
1608685357473: computer
1608685358859: ubc
1608685359049: engineer
1608685360286: ubc
1608685360497: engineer
1608685361764: ubc
1608685362131: computer
1608685363418: ubc
1608685363631: engineer
1608685516644: ubc
1608685516932: engineer
1608685518174: ubc
1608685518381: computer
1608685519673: ubc
1608685519872: engineer
1608685521149: ubc
1608685521363: computer
1608685522662: ubc
1608685522925: engineer
1608685524166: ubc
1608685524379: computer
1608685525664: ubc
1608685525875: engineer
1608685527167: ubc
1608685527362: computer
1608685528684: ubc
1608685528894: engineer
1608685530954: ubc
1608685531147: computer
1608685532440: ubc
1608685532645: engineer
1608685533919: ubc
1608685534147: computer
1608685535403: ubc
1608685535616: engineer
1608685536892: ubc
1608685537091: computer
1608685538394: ubc
1608685538619: engineer
1608685539887: ubc
1608685540079: computer
1608685541377: ubc
1608685541605: engineer
1608685542832: ubc
1608685543032: computer
1608685544275: ubc
1608685544468: engineer
1608685545739: ubc
1608685545958: computer
1608685547235: ubc
1608685547437: engineer
1608685548709: ubc
1608685548906: computer
1608685550218: ubc
1608685550446: engineer
1608685551692: ubc
1608685551891: computer
1608685553174: ubc
1608685553375: engineer
1608685554613: ubc
1608685554820: computer
1608685556097: ubc
1608685556296: engineer
1608685557608: ubc
1608685557812: computer
1608685559159: ubc
1608685559356: engineer
1608685560630: ubc
1608685561984: computer
1608685629831: ubc
1608685630178: engineer
1608685631485: ubc
1608685631670: computer
1608685632945: ubc
1608685633149: engineer
1608685634391: ubc
1608685634594: computer
1608685635860: ubc
1608685636105: engineer
1608685637386: ubc
1608685637588: computer
1608685638858: ubc
1608685639110: engineer
1608685640361: ubc
1608685640558: computer
1608685641819: ubc
1608685642027: engineer
1608685643292: ubc
1608685643500: computer
1608685644757: ubc
1608685645029: engineer
1608685646277: ubc
1608685646467: computer
1608685647719: ubc
1608685647939: engineer
1608685649203: ubc
1608685649410: computer
1608685650669: ubc
1608685650859: engineer
1608685652129: ubc
1608685652325: computer
1608685653586: ubc
1608685653781: engineer
1608685655040: ubc
1608685655277: computer
1608685656528: ubc
1608685656741: engineer
1608685657996: ubc
1608685658259: computer
1608685659639: ubc
1608685659829: engineer
1608685661113: ubc
1608685661309: computer
1608685662589: ubc
1608685662816: engineer
1608685664086: ubc
1608685664292: computer
1608685665607: ubc
1608685665795: engineer
1608685667057: ubc
1608685667261: computer
1608685668558: ubc
1608685668819: engineer
1608685670113: ubc
1608685670309: computer
1608685671609: ubc
1608685671796: engineer
1608685673076: ubc
1608685673306: computer
functionLog
maxLoad: 52
startlog
1
1
2
1
1
2
2
0
2
2
0
2
2
0
2
2
0
2
2
0
2
2
0
2
2
0
2
2
0
3
